"ID","alpha","block","diff","english","exposure","first_key_rt","first_key_timestamp","form_response","last_key_rt","response","retrieval_t","rv_trial","swahili","time_block_loop","time_block_sequence","time_correct_answer","time_cue","time_fixation_cross","time_fixation_dot","time_incorrect_answer","time_keyboard","time_press_spacebar","time_study_screen","time_test_screen","trial"
"NA","NA","NA","NA","NA","NA","NA","NA","58","NA","58","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","white","NA","legacy","legacy","legacy","0","uniform","0","0","NA","0","NA","NA","NA","NA","0","0","NA","0","0","NA","NA","NA","NA","0","NA","0","NA","NA","NA","NA","NA","NA","Sat Sep 27 17:15:36 2025","The main experiment item","NA","False","NA","NA","Swahili.osexp","C:\Users\elian\Documents\Uni\MSc\Methods_ASM\SwahiliExp\cuddly-doodle","False","mono","False","32","no","black","no","Female","yes","1035","NA","NA","legacy","C:\Users\elian\Documents\Uni\MSc\Methods_ASM\SwahiliExp\cuddly-doodle\subject-15.csv","legacy","Neonatal Nightingale","4.1.0","NA","58","2","legacy","1024","2","48000","-16","experiment","15","odd","NA","3491","8637","NA","NA","NA","NA","NA","NA","8642","10159","NA","NA","3480","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Pilot test","NA","yes","1663"
"56","0.305624242424242","1","difficult","interest","2965","3994","310438","Ok","8421","interest","288815","975.0094485716336","maslahi","15212","15640","314869","306444","305448","15645","NA","306444","16624","16624","NA","1"
"34","0.175557575757576","1","easy","grandmother","2965","1636","326765","Ok","6054","grandmother","4993","863.907484677316","bibi","15212","318264","331187","325129","324131","318268","NA","325129","319134","319134","NA","2"
"11","0.183198461538461","1","easy","chicken","2965","1538","340955","Ok","4952","chicken","3085","731.0511920085498","kuku","15212","334592","344374","339417","338419","334596","NA","339417","335330","335330","NA","3"
"45","0.219891044776119","1","easy","door","2965","1351","355511","Ok","2638","door","4613","783.4173130202253","lango","15212","347757","356803","354160","353162","347760","NA","354160","348545","348544","NA","4"
"48","0.207198461538461","1","easy","garden","2965","1413","366606","Ok","4607","garden","3082","865.4621344935401","bustani","15212","360235","369802","365193","364195","360240","NA","365193","361108","361108","NA","5"
"12","0.386646268656716","1","difficult","book","2965","1285","381287","Ok","2432","book","4921","861.3983710761589","fasihi","15212","373207","382439","380002","379004","373214","NA","380002","374079","374079","NA","6"
"14","0.3337796875","1","difficult","voice","2965","1178","392485","Ok","4398","voice","3569","866.4213853327797","sauti","15212","385861","395710","391307","390309","385866","NA","391307","386735","386735","NA","7"
"24","0.294655384615385","1","difficult","shop","2965","1056","405109","Ok","3287","shop","3486","475.24691787774736","duka","15212","399083","407344","404053","403054","399087","NA","404053","399565","399564","NA","8"
