"ID","alpha","block","diff","english","exposure","first_key_rt","first_key_timestamp","form_response","last_key_rt","response","retrieval_t","rv_trial","swahili","time_block_loop","time_block_sequence","time_correct_answer","time_cue","time_fixation_cross","time_fixation_dot","time_incorrect_answer","time_keyboard","time_press_spacebar","time_study_screen","time_test_screen","trial"
"NA","NA","NA","NA","NA","NA","NA","NA","29","NA","29","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"NA","NA","white","NA","legacy","legacy","legacy","0","uniform","0","0","NA","0","NA","NA","NA","NA","0","0","NA","0","0","NA","NA","NA","NA","0","NA","0","NA","NA","NA","NA","NA","NA","Wed Sep 24 11:46:11 2025","The main experiment item","NA","False","NA","NA","Swahili.osexp","C:\Users\elian\Documents\Uni\MSc\Methods_ASM\SwahiliExp\cuddly-doodle","False","mono","False","32","no","black","no","Female","yes","1035","NA","NA","legacy","C:\Users\elian\Documents\Uni\MSc\Methods_ASM\SwahiliExp\cuddly-doodle\subject-12.csv","legacy","Neonatal Nightingale","4.1.0","NA","29","2","legacy","1024","2","48000","-16","experiment","12","even","NA","8718","13886","NA","NA","NA","NA","NA","NA","13905","15562","NA","NA","8638","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Pilot test","NA","yes","1663"
"49","0.191309230769231","1","easy","secret","2465","1656","40541","Ok","9632","secret","5183","407.2768700874833","siri","31624","32161","48521","38885","37888","32292","NA","38885","32702","32702","NA","1"
"69","0.368722388059701","1","difficult","bed","2465","1050","58010","Ok","2482","bed","3730","840.5231443030698","kitanda","31624","51385","59445","56960","55963","51388","NA","56960","52231","52230","NA","2"
"46","0.3271421875","1","difficult","head","2465","1137","67189","Ok","2922","head","1746","989.2397006482488","kichwa","31624","62310","68977","66052","65055","62314","NA","66052","63306","63306","NA","3"
"48","0.207198461538461","1","easy","garden","2465","543","74875","Ok","2116","garden","1069","415.716726439563","bustani","31624","71844","76450","74332","73336","71847","NA","74332","72263","72263","NA","4"
"22","0.287647692307692","1","difficult","fruit","2465","120","82089","Ok","2222","fruit","964","665.9798060610858","tunda","31624","79336","84194","81969","80973","79339","NA","81969","80006","80006","NA","5"
"44","0.199686567164179","1","easy","soul","2465","225","90717","Ok","1241","soul","1752","681.2136270263411","roho","31624","87055","91736","90492","89496","87058","NA","90493","87741","87741","NA","6"
"57","0.209593846153846","1","easy","bus","3965","3021","99375","Ok","3657","soul","2","743.6157531702737","basi","31624","94605","91736","96354","95357","94609","100014","96354","95354","95353","NA","7"
"5","0.34374","1","difficult","office","2465","821","108499","Ok","1966","office","1894","403.31466361453","afisi","31624","104375","109647","107678","106681","104379","100014","107678","104784","104784","NA","8"
"52","0.315165151515151","1","difficult","wonder","2465","28","115502","Ok","759","wonder","1443","512.0122616706038","ajabu","31624","112515","116236","115474","114478","112518","100014","115475","113032","113032","NA","9"
"63","0.216794029850746","1","easy","storm","2465","1","122419","Ok","1584","storm","1753","559.6067673460566","dhoruba","31624","119101","124004","122418","121421","119104","100014","122418","119665","119665","NA","10"
"5","0.34374","1","difficult","office","3465","1881","133758","Ok","3202","storm","3569","403.4058808779858","afisi","31624","126900","124004","131877","130881","126904","135081","131877","127309","119665","127308","11"
"46","0.3271421875","1","difficult","head","3465","1","148669","Ok","3056","office","8024","693.7505624951317","kichwa","31624","138947","124004","148668","147671","138950","151726","148668","139645","119665","139645","12"
"48","0.207198461538461","1","easy","garden","3465","477","162279","Ok","1770","office","4245","954.5998946011348","bustani","31624","155597","124004","161802","160805","155601","163574","161802","156557","119665","156557","13"
"49","0.191309230769231","1","easy","secret","1965","2","172131","Ok","3080","secret","3041","646.5418562144649","siri","31624","167437","175212","172129","171131","167440","163574","172129","168088","119665","168088","14"
"52","0.315165151515151","1","difficult","wonder","3465","2","182422","Ok","2015","head","3394","446.567899234003","ajabu","31624","177577","175212","182420","181424","177580","184438","182420","178028","119665","178028","15"
"44","0.199686567164179","1","easy","soul","3465","2","192142","Ok","2868","garden","2446","400.1138467442383","roho","31624","188288","175212","192140","191144","188293","195011","192141","188695","119665","188695","16"
"22","0.287647692307692","1","difficult","fruit","3465","1511","205276","Ok","2110","head","3087","760.4936973931517","tunda","31624","198908","175212","203765","202769","198916","205878","203766","199678","119665","199678","17"
"57","0.209593846153846","1","easy","bus","4965","1","212588","Ok","1975","garden","1215","628.2075950399142","basi","31624","209738","175212","212587","211589","209742","214565","212587","210373","119665","210372","18"
"63","0.216794029850746","1","easy","storm","3465","2","222578","Ok","2302","garden","1104","517.3920443937089","dhoruba","31624","219946","175212","222576","221580","219954","224881","222576","220473","119665","220473","19"
"69","0.368722388059701","1","difficult","bed","3465","806","233435","Ok","1698","garden","1895","992.9116702355936","kitanda","31624","228735","175212","232629","231632","228740","234330","232629","229734","119665","229734","20"
"63","0.216794029850746","1","easy","storm","2965","2188","242256","Ok","4299","storm","1","876.7851697579933","dhoruba","31624","238185","244370","240068","239072","238189","234330","240069","239067","119665","239067","21"
"44","0.199686567164179","1","easy","soul","2965","439","251834","Ok","1117","soul","1716","948.5112638363671","roho","31624","247727","252515","251395","250399","247730","234330","251396","248680","119665","248680","22"
"57","0.209593846153846","1","easy","bus","4465","321","260268","Ok","807","bus","2158","907.3396050675154","basi","31624","255877","260757","259947","258951","255880","234330","259947","256790","119665","256790","23"
"52","0.315165151515151","1","difficult","wonder","4465","1244","275231","Ok","5838","soul","6675","550.1064850273443","ajabu","31624","265754","260757","273987","272991","265760","279827","273988","266313","119665","266313","24"
"48","0.207198461538461","1","easy","garden","4465","1088","290216","Ok","1890","wonder","2929","463.60758141516067","bustani","31624","284728","260757","289128","288131","284733","291021","289128","285200","119665","285199","25"
"69","0.368722388059701","1","difficult","bed","4465","629","300999","Ok","1154","head","2881","603.5637151691043","kitanda","31624","295882","260757","300370","299373","295886","301527","300370","296491","119665","296490","26"
"5","0.34374","1","difficult","office","4465","641","310277","Ok","1250","head","1845","400.7927053929299","afisi","31624","306388","260757","309636","308640","306391","310890","309636","306793","119665","306793","27"
"49","0.191309230769231","1","easy","secret","1465","339","318634","Ok","1897","secret","1025","499.6574046932941","siri","31624","315763","320195","318295","317298","315770","310890","318295","316271","119665","316270","28"
"46","0.3271421875","1","difficult","head","4465","959","334955","Ok","1626","wonder","10389","517.635340322125","kichwa","31624","322084","320195","333996","333000","322089","335625","333997","322608","119665","322608","29"
"22","0.287647692307692","1","difficult","fruit","4465","329","344429","Ok","1598","storm","1719","842.2088737502854","tunda","31624","340533","320195","344100","343104","340538","345701","344101","341382","119665","341382","30"
"49","0.191309230769231","1","easy","secret","965","473","354178","Ok","2319","secret","1561","585.7727110752771","siri","31624","350554","356027","353705","352709","350559","345701","353706","351146","119665","351145","31"
"44","0.199686567164179","1","easy","soul","3965","4468","369553","Ok","5142","wonder","6245","436.6261093657651","roho","31624","357398","356027","365085","364088","357402","370229","365086","357840","119665","357840","32"
"22","0.287647692307692","1","difficult","fruit","5465","3287","380493","Ok","4023","storm","1050","520.4102415883556","tunda","31624","374628","356027","377206","376209","374634","381232","377206","375156","119665","375156","33"
"52","0.315165151515151","1","difficult","wonder","3965","3134","391895","Ok","5878","wonder","2","646.0615470900077","ajabu","31624","387107","394642","388761","387765","387113","381232","388762","387761","119665","387760","34"
"69","0.368722388059701","1","difficult","bed","5465","605","404558","Ok","1207","head","2947","997.6552335578273","kitanda","31624","399002","394642","403953","402957","399010","405162","403954","400009","119665","400008","35"
"63","0.216794029850746","1","easy","storm","3965","918","415975","Ok","1809","head","2075","922.0351568989099","dhoruba","31624","411050","394642","415057","414060","411058","416869","415057","411982","119665","411982","36"
"46","0.3271421875","1","difficult","head","5465","361","424875","Ok","1373","fruit","1649","611.18547735292","kichwa","31624","421244","394642","424514","423517","421252","425890","424514","421865","119665","421865","37"
"48","0.207198461538461","1","easy","garden","3965","469","438227","Ok","1658","garden","4130","878.686045044102","bustani","31624","431743","439418","437758","436762","431749","425890","437759","432629","119665","432629","38"
"57","0.209593846153846","1","easy","bus","3965","1657","446941","Ok","6659","bus","2","488.5408337455108","basi","31624","443785","451946","445284","444287","443789","425890","445284","444279","119665","444279","39"
"5","0.34374","1","difficult","office","3965","532","460163","Ok","1545","office","1717","609.6765489988175","afisi","31624","456298","461179","459631","458634","456303","425890","459631","456914","119665","456914","40"
"48","0.207198461538461","1","easy","garden","4965","479","469301","Ok","894","bus","1737","534.138847882201","bustani","31624","465547","461179","468822","467826","465552","469718","468822","466088","119665","466087","41"
"63","0.216794029850746","1","easy","storm","4965","1355","477873","Ok","4893","stor","1","417.18101628336495","dhoruba","31624","475090","461179","476518","475522","475097","481414","476518","475516","119665","475516","42"
"52","0.315165151515151","1","difficult","wonder","4965","446","490246","Ok","974","head","1198","786.9871918963385","ajabu","31624","486808","461179","489800","488803","486814","490777","489800","487603","119665","487602","43"
"22","0.287647692307692","1","difficult","fruit","6465","369","502739","Ok","1882","head","4329","889.1546992234187","tunda","31624","496146","461179","502370","501374","496152","504255","502371","497043","119665","497042","44"
"44","0.199686567164179","1","easy","soul","4965","1540","525363","Ok","1906","bar","10924","764.126316047938","roho","31624","511128","461179","523823","522826","511134","525732","523823","511900","119665","511900","45"
"46","0.3271421875","1","difficult","head","4965","2736","538811","Ok","3437","head","3223","757.8148171877151","kichwa","31624","531091","539516","536075","535079","531096","525732","536075","531855","119665","531854","46"
"69","0.368722388059701","1","difficult","bed","6465","415","549991","Ok","1737","storm","2778","919.3703444358771","kitanda","31624","544872","539516","549576","548579","544878","551316","549576","545799","119665","545799","47"
"57","0.209593846153846","1","easy","bus","3465","458","561988","Ok","854","bus","1353","992.8380973537629","basi","31624","558180","562387","561530","560533","558183","551316","561530","559177","119665","559176","48"
"49","0.191309230769231","1","easy","secret","465","359","569627","Ok","2668","secret","1104","863.2179467670051","siri","31624","566296","571939","569268","568271","566300","551316","569268","567165","119665","567165","49"
"5","0.34374","1","difficult","office","3465","409","577422","Ok","1525","office","2242","973.3929341699345","afisi","31624","572795","578541","577013","576016","572798","551316","577013","573773","119665","573772","50"
"57","0.209593846153846","1","easy","bus","2965","386","585675","Ok","825","bus","1024","853.7097642449985","basi","31624","582406","586117","585289","584293","582411","551316","585289","583266","119665","583266","51"
"44","0.199686567164179","1","easy","soul","4465","382","595284","Ok","1093","soul","3962","449.92914905528","roho","31624","589485","595998","594902","593906","589491","551316","594902","589942","119665","589941","52"
"52","0.315165151515151","1","difficult","wonder","4465","683","608431","Ok","1516","wonder","5042","854.1869508070497","ajabu","31624","600845","609267","607748","606751","600849","551316","607748","601705","119665","601705","53"
"5","0.34374","1","difficult","office","2965","380","619058","Ok","1470","office","2952","592.0671353238811","afisi","31624","614128","620152","618678","617682","614133","551316","618679","614726","119665","614726","54"
"69","0.368722388059701","1","difficult","bed","7465","2281","627379","Ok","4813","head","2","525.4133362195838","kitanda","31624","623562","620152","625098","624102","623569","629915","625098","624096","119665","624096","55"
"46","0.3271421875","1","difficult","head","4465","406","642192","Ok","1018","head","2043","952.7711545169504","kichwa","31624","637783","642807","641786","640789","637790","629915","641786","638743","119665","638743","56"
"49","0.191309230769231","1","easy","secret","0","353","651153","Ok","1670","secret","1640","481.12069931075695","siri","31624","647674","652473","650800","649804","647679","629915","650800","648162","119665","648161","57"
"48","0.207198461538461","1","easy","garden","5965","1209","655752","Ok","3223","bus","2","645.1723569778266","bustani","31624","652891","652473","654543","653545","652894","657769","654543","653541","119665","653540","58"
"22","0.287647692307692","1","difficult","fruit","5965","359","670226","Ok","2131","fruit","4014","694.0977970429878","tunda","31624","664144","672001","669867","668870","664153","657769","669868","664849","119665","664848","59"
"63","0.216794029850746","1","easy","storm","5965","546","690748","Ok","1158","wonder","10176","656.5671851000395","dhoruba","31624","678364","672001","690202","689206","678369","691363","690202","679028","119665","679028","60"
"7","0.210024615384615","2","easy","eye","2965","1429","708066","Ok","1790","eye","2207","935.0968149484428","jicho","31624","702488","708430","706637","705639","702493","691363","706637","703430","703430","679028","61"
"64","0.353060606060606","2","difficult","boy","2965","725","718668","Ok","1245","boy","4380","722.0463477232963","kijana","31624","711833","719191","717943","716946","711836","691363","717943","712560","712560","679028","62"
"75","0.170078787878788","2","easy","death","2965","378","727837","Ok","1315","death","3033","871.0936815032381","ufu","31624","722549","728777","727459","726461","722553","691363","727459","723427","723426","679028","63"
"27","0.222377272727273","2","easy","sky","2965","431","738284","Ok","851","sku","3950","757.7905789108993","anga","31624","732140","728777","737853","736856","732145","738707","737853","732904","732903","679028","64"
"31","0.319181818181818","2","difficult","letter","2965","552","747112","Ok","2217","letter","2694","778.1800405668903","barua","31624","742079","748780","746560","745562","742085","738707","746560","742865","742865","679028","65"
"26","0.351680597014926","2","difficult","scissors","2965","364","758483","Ok","2642","scissors","4014","962.0670130000184","chanjo","31624","752140","760764","758119","757123","752143","738707","758119","753107","753106","679028","66"
