"ID","alpha","block","diff","english","exposure","first_key_rt","first_key_timestamp","form_response","last_key_rt","response","retrieval_t","rv_trial","swahili","time_block_loop","time_block_sequence","time_correct_answer","time_cue","time_fixation_cross","time_fixation_dot","time_incorrect_answer","time_keyboard","time_press_spacebar","time_study_screen","time_test_screen","trial"
"NA","NA","NA","NA","NA","NA","NA","NA","22","NA","22","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"37","0.167559091","1","easy","skirt","2965","343","525704","Ok","1096","skirt","1120","682.9311986274697","skati","117265","522554","526460","525361","524364","522557","519142","525361","523241","221502","523241","34"
"32","0.344718182","1","difficult","party","2965","366","532879","Ok","1343","party","1015","664.192295137611","karamu","117265","529830","533858","532513","531517","529832","519142","532514","530499","221502","530499","35"
"50","0.315827273","1","difficult","society","2965","393","541331","Ok","1462","church","2027","641.2079056451278","chama","117265","537265","533858","540938","539941","537269","542403","540938","537912","221502","537912","36"
"34","0.175557576","1","easy","grandmother","2965","1654","550023","Ok","3178","grandmother","906","691.921115434784","bibi","117265","545767","551550","548369","547372","545770","542403","548369","546463","221502","546463","37"
"64","0.353060606","1","difficult","boy","2965","541","558040","Ok","902","boy","1162","414.25018844999","kijana","117265","554920","558404","557499","556503","554923","542403","557500","555338","221502","555338","38"
"27","0.222377273","1","easy","sky","2965","401","569946","Ok","1228","sky","6294","483.80630194140355","anga","117265","561764","570776","569545","568549","561767","542403","569546","562252","221502","562252","39"
"51","0.39958806","1","difficult","church","2965","330","582065","Ok","1116","church","5853","734.4875158840904","kanisa","117265","574144","582854","581735","580738","574147","542403","581735","574883","221502","574882","40"
"32","0.344718182","1","difficult","party","2965","355","589023","Ok","1278","party","895","552.9409258632218","karamu","117265","586219","589949","588668","587672","586222","542403","588669","586775","221502","586775","41"
"37","0.167559091","1","easy","skirt","2965","357","596184","Ok","1091","skirt","702","809.4518241454186","skati","117265","593312","596921","595827","594830","593315","542403","595827","594126","221502","594125","42"
"56","0.305624242","1","difficult","interest","2965","268","607359","Ok","1762","interest","5082","691.6291864029836","maslahi","117265","600313","608857","607091","606094","600316","542403","607092","601009","221502","601009","43"
"27","0.222377273","1","easy","sky","2965","287","616049","Ok","764","sky","1643","897.0196176788825","anga","117265","612219","616529","615762","614765","612222","542403","615762","613121","221502","613120","44"
"34","0.175557576","1","easy","grandmother","2965","334","623112","Ok","2138","grandmother","965","905.0542698568001","bibi","117265","619902","624920","622778","621782","619905","542403","622778","620812","221502","620812","45"
"64","0.353060606","1","difficult","boy","2965","399","631287","Ok","1494","boy","1003","599.9410229450539","kijana","117265","628282","632385","630888","629892","628285","542403","630888","628886","221502","628886","46"
"44","0.199686567","1","easy","soul","2965","276","639312","Ok","927","soul","1640","662.98277859918","roho","117265","635732","639967","639036","638040","635734","542403","639036","636399","221502","636398","47"
"51","0.39958806","1","difficult","church","2965","365","647173","Ok","1137","church","2008","466.15693509354014","kanisa","117265","643330","647948","646808","645812","643333","542403","646808","643801","221502","643801","48"
"49","0.191309231","1","easy","secret","2965","303","653831","Ok","1598","secret","688","481.2679001958595","siri","117265","651355","655128","653528","652532","651359","542403","653528","651842","221502","651841","49"
"50","0.315827273","1","difficult","society","2965","285","661747","Ok","1030","society","1112","845.7601386826937","chama","117265","658499","662495","661462","660465","658502","542403","661462","659350","221502","659350","50"
"51","0.39958806","1","difficult","church","2965","311","668573","Ok","989","chruch","912","481.2834198904303","kanisa","117265","665865","662495","668262","667266","665868","669254","668263","666352","221502","666352","51"
"32","0.344718182","1","difficult","party","2965","350","675858","Ok","1344","party","1145","743.417963821611","karamu","117265","672616","676856","675508","674511","672619","669254","675508","673364","221502","673363","52"
"50","0.315827273","1","difficult","society","2965","334","683696","Ok","1339","society","1364","766.9754676894457","chama","117265","680228","684704","683362","682365","680231","669254","683362","680998","221502","680998","53"
"37","0.167559091","1","easy","skirt","2965","357","691169","Ok","1411","skirt","892","850.9755715735971","skati","117265","688066","692226","690812","689816","688069","669254","690812","688921","221502","688921","54"
"44","0.199686567","1","easy","soul","2965","403","698495","Ok","903","soul","649","813.1005627201629","roho","117265","695621","698998","698092","697095","695629","669254","698092","696444","221502","696444","55"
"56","0.305624242","1","difficult","interest","2965","203","705848","Ok","1622","interest","1711","565.4348281373153","maslahi","117265","702364","707270","705645","704647","702367","669254","705645","702934","221502","702934","56"
"27","0.222377273","1","easy","sky","2965","8071","721339","Ok","8564","sky","948","688.3465974404528","anga","117265","710627","721836","713268","712271","710630","669254","713268","711320","221502","711320","57"
"34","0.175557576","1","easy","grandmother","2965","237","727800","Ok","1882","grandmother","740","618.6177489921654","bibi","117265","725201","729448","727563","726567","725203","669254","727564","725824","221502","725824","58"
"64","0.353060606","1","difficult","boy","2965","292","735564","Ok","1101","boy","859","581.0376722594684","kijana","117265","732829","736376","735272","734276","732832","669254","735273","733415","221502","733415","59"
"49","0.191309231","1","easy","secret","2965","215","742119","Ok","1816","secret","658","518.802151454139","siri","117265","739723","743723","741904","740906","739726","669254","741904","740246","221502","740246","60"
"45","0.219891045","2","easy","door","2465","1041","754300","Ok","1426","door","1498","775.15927796359","lango","117265","749979","754688","753259","752262","749984","669254","753259","750761","750761","740246","61"
"67","0.20078806","2","easy","apple","2465","400","761824","Ok","1783","apple","1859","968.538819552775","tofaa","117265","757592","763210","761424","760427","757594","669254","761424","758565","758565","740246","62"
"35","0.275992424","2","difficult","doctor","2465","756","773050","Ok","1443","doctor","4595","620.4697228050213","tabibu","117265","766074","773740","772294","771297","766077","669254","772294","766699","766699","740246","63"
"33","0.225168182","2","easy","honor","2465","581","782536","Ok","1419","honor","3446","895.1636191358236","adhama","117265","776610","783377","781955","780958","776613","669254","781955","777510","777509","740246","64"
"26","0.351680597","2","difficult","scissors","2465","256","791401","Ok","1729","scissors","3094","804.0459824066829","chanjo","117265","786242","792877","791145","790147","786245","669254","791145","787051","787051","740246","65"
"2","0.178725758","2","easy","beer","2465","685","800329","Ok","1267","beer","2204","710.600918697171","pombe","117265","795726","800915","799644","798648","795728","669254","799645","796441","796441","740246","66"
"46","0.327142188","2","difficult","head","2465","310","808233","Ok","969","head","2516","621.1829455971956","kichwa","117265","803782","808894","807923","806925","803785","669254","807923","804408","804407","740246","67"
"63","0.21679403","2","easy","storm","3965","1260","819846","Ok","3676","srorm","5006","776.9795636850358","dhoruba","117265","811798","808894","818586","817589","811802","822265","818586","812580","812580","740246","68"
"69","0.368722388","2","difficult","bed","3965","76","831430","Ok","1872","kitanda","2996","726.3625835004045","kitanda","117265","826628","808894","831354","830357","826631","833233","831355","827359","827359","740246","69"
"13","0.307741538","2","difficult","song","2465","269","841113","Ok","810","song","1544","693.1212535299148","wimbo","117265","837602","841656","840844","839848","837606","833233","840845","838301","838301","740246","70"
"26","0.351680597","2","difficult","scissors","3465","2","855817","Ok","2244","chance","9733","554.3535959410129","chanjo","117265","844524","841656","855815","854818","844526","858062","855815","845082","838301","845082","71"
"69","0.368722388","2","difficult","bed","3465","270","865080","Ok","709","bed","1291","588.9678973290075","kitanda","117265","861928","865523","864810","863814","861931","858062","864810","862520","838301","862520","72"
"33","0.225168182","2","easy","honor","1965","544","877299","Ok","1540","honor","5813","535.7567622222372","adhama","117265","869402","878298","876755","875758","869405","858062","876755","869942","838301","869941","73"
"67","0.20078806","2","easy","apple","1965","328","883944","Ok","1401","apple","1067","832.7129793460615","tofaa","117265","880712","885020","883616","882619","880715","858062","883616","881549","838301","881549","74"
"45","0.219891045","2","easy","door","1965","264","892275","Ok","750","door","3010","480.59909393295663","lango","117265","887516","892764","892011","891014","887519","858062","892012","888001","838301","888001","75"
"63","0.21679403","2","easy","storm","3465","269","898931","Ok","1153","storm","1649","881.9615284759738","dhoruba","117265","895128","899819","898662","897665","895131","858062","898662","896014","838301","896013","76"
"35","0.275992424","2","difficult","doctor","1965","551","907532","Ok","1258","doctor","1869","421.1125766290811","tabibu","117265","903687","908243","906981","905984","903690","858062","906981","904112","838301","904112","77"
"2","0.178725758","2","easy","beer","1965","330","913362","Ok","1149","beer","802","620.9560461530228","pombe","117265","910604","914184","913032","912035","910608","858062","913032","911230","838301","911230","78"
"13","0.307741538","2","difficult","song","1965","321","919880","Ok","818","song","1441","567.1824838895287","wimbo","117265","916546","920380","919559","918562","916549","858062","919559","917118","838301","917118","79"
"46","0.327142188","2","difficult","head","1965","274","926794","Ok","904","head","1861","922.4950069270815","kichwa","117265","922734","927433","926520","925524","922736","858062","926520","923659","838301","923659","80"
"33","0.225168182","2","easy","honor","1465","247","932879","Ok","1050","honor","952","847.0828683150063","adhama","117265","929828","933685","932632","931636","929832","858062","932633","930681","838301","930681","81"
"67","0.20078806","2","easy","apple","1465","336","938354","Ok","1305","apple","800","677.7728366120319","tofaa","117265","935538","939326","938018","937022","935541","858062","938018","936220","838301","936219","82"
"35","0.275992424","2","difficult","doctor","1465","440","943743","Ok","1114","doctor","592","514.430782004833","tabibu","117265","941193","944419","943303","942307","941196","858062","943304","941713","838301","941712","83"
"26","0.351680597","2","difficult","scissors","2965","2","950452","Ok","1678","scissors","2482","680.930057028557","chanjo","117265","946284","952132","950450","949453","946287","858062","950450","946969","838301","946968","84"
"45","0.219891045","2","easy","door","1465","6","959356","Ok","649","door","2280","577.6346175872553","lango","117265","955485","960001","959350","958354","955487","858062","959351","956066","838301","956066","85"
"69","0.368722388","2","difficult","bed","2965","280","965003","Ok","694","bed","1285","563.8144247461553","kitanda","117265","961872","965420","964723","963726","961874","858062","964723","962438","838301","962438","86"
"46","0.327142188","2","difficult","head","1465","376","972257","Ok","1062","head","1124","927.3021606367782","kichwa","117265","968824","972946","971881","970884","968828","858062","971881","969757","838301","969757","87"
"13","0.307741538","2","difficult","song","1465","349","977565","Ok","875","song","808","616.8068084288143","wimbo","117265","974787","978094","977216","976219","974790","858062","977216","975408","838301","975408","88"
"2","0.178725758","2","easy","beer","1465","339","983089","Ok","905","beer","1012","780.8450638526533","pombe","117265","979955","983658","982750","981754","979958","858062","982751","980740","838301","980740","89"
"63","0.21679403","2","easy","storm","2965","268","988193","Ok","1325","storm","941","453.5301678695425","dhoruba","117265","985526","989253","987925","986928","985530","858062","987925","985985","838301","985984","90"
"13","0.307741538","2","difficult","song","965","286","995922","Ok","752","song","1263","751.9989037630925","wimbo","117265","992619","996391","995636","994639","992621","858062","995636","993373","838301","993373","91"
"45","0.219891045","2","easy","door","965","239","1000770","Ok","798","door","792","971.5186658883546","lango","117265","997762","1001333","1000531","999534","997765","858062","1000532","998739","838301","998739","92"
